C:\Users\1027k>atlas metrics processes  testcluster-shard-00-02.hhn0w.mongodb.net:27017   --start 2024-01-19T00:00:00Z  --end 2024-01-19T02:00:00Z --granularity PT5M
CURSORS_TOTAL_TIMED_OUT                        SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
CURSORS_TOTAL_TIMED_OUT                        SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
CURSORS_TOTAL_TIMED_OUT                        SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
CURSORS_TOTAL_TIMED_OUT                        SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
CURSORS_TOTAL_TIMED_OUT                        SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
DB_STORAGE_TOTAL                               BYTES                2024-01-19 01:14:12 +0000 UTC         4.4496896e+08
DB_STORAGE_TOTAL                               BYTES                2024-01-19 01:19:12 +0000 UTC         N/A
DB_STORAGE_TOTAL                               BYTES                2024-01-19 01:24:12 +0000 UTC         N/A
DB_STORAGE_TOTAL                               BYTES                2024-01-19 01:29:12 +0000 UTC         N/A
DB_STORAGE_TOTAL                               BYTES                2024-01-19 01:34:12 +0000 UTC         N/A
DB_STORAGE_TOTAL                               BYTES                2024-01-19 01:39:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL                             BYTES                2024-01-19 01:14:12 +0000 UTC         9.123192e+08
DB_DATA_SIZE_TOTAL                             BYTES                2024-01-19 01:19:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL                             BYTES                2024-01-19 01:24:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL                             BYTES                2024-01-19 01:29:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL                             BYTES                2024-01-19 01:34:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL                             BYTES                2024-01-19 01:39:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL_WO_SYSTEM                   BYTES                2024-01-19 01:14:12 +0000 UTC         3.906994e+08
DB_DATA_SIZE_TOTAL_WO_SYSTEM                   BYTES                2024-01-19 01:19:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL_WO_SYSTEM                   BYTES                2024-01-19 01:24:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL_WO_SYSTEM                   BYTES                2024-01-19 01:29:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL_WO_SYSTEM                   BYTES                2024-01-19 01:34:12 +0000 UTC         N/A
DB_DATA_SIZE_TOTAL_WO_SYSTEM                   BYTES                2024-01-19 01:39:12 +0000 UTC         N/A
DB_INDEX_SIZE_TOTAL                            BYTES                2024-01-19 01:14:12 +0000 UTC         3.008512e+07
DB_INDEX_SIZE_TOTAL                            BYTES                2024-01-19 01:19:12 +0000 UTC         N/A
DB_INDEX_SIZE_TOTAL                            BYTES                2024-01-19 01:24:12 +0000 UTC         N/A
DB_INDEX_SIZE_TOTAL                            BYTES                2024-01-19 01:29:12 +0000 UTC         N/A
DB_INDEX_SIZE_TOTAL                            BYTES                2024-01-19 01:34:12 +0000 UTC         N/A
DB_INDEX_SIZE_TOTAL                            BYTES                2024-01-19 01:39:12 +0000 UTC         N/A
DOCUMENT_METRICS_RETURNED                      SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         1.5710797
DOCUMENT_METRICS_RETURNED                      SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0.63665795
DOCUMENT_METRICS_RETURNED                      SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0.56666046
DOCUMENT_METRICS_RETURNED                      SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0.62332875
DOCUMENT_METRICS_RETURNED                      SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0.5966621
DOCUMENT_METRICS_RETURNED                      SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0.5866608
DOCUMENT_METRICS_INSERTED                      SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
DOCUMENT_METRICS_INSERTED                      SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
DOCUMENT_METRICS_INSERTED                      SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
DOCUMENT_METRICS_INSERTED                      SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
DOCUMENT_METRICS_INSERTED                      SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
DOCUMENT_METRICS_INSERTED                      SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
DOCUMENT_METRICS_UPDATED                       SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0.03111049
DOCUMENT_METRICS_UPDATED                       SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0.086665444
DOCUMENT_METRICS_UPDATED                       SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0.106665224
DOCUMENT_METRICS_UPDATED                       SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0.12666622
DOCUMENT_METRICS_UPDATED                       SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0.11333289
DOCUMENT_METRICS_UPDATED                       SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0.119999446
DOCUMENT_METRICS_DELETED                       SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
DOCUMENT_METRICS_DELETED                       SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
DOCUMENT_METRICS_DELETED                       SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
DOCUMENT_METRICS_DELETED                       SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
DOCUMENT_METRICS_DELETED                       SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
DOCUMENT_METRICS_DELETED                       SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
EXTRA_INFO_PAGE_FAULTS                         SCALAR_PER_SECOND    2024-01-19 01:14:12 +0000 UTC         0
EXTRA_INFO_PAGE_FAULTS                         SCALAR_PER_SECOND    2024-01-19 01:19:12 +0000 UTC         0
EXTRA_INFO_PAGE_FAULTS                         SCALAR_PER_SECOND    2024-01-19 01:24:12 +0000 UTC         0
EXTRA_INFO_PAGE_FAULTS                         SCALAR_PER_SECOND    2024-01-19 01:29:12 +0000 UTC         0
EXTRA_INFO_PAGE_FAULTS                         SCALAR_PER_SECOND    2024-01-19 01:34:12 +0000 UTC         0
EXTRA_INFO_PAGE_FAULTS                         SCALAR_PER_SECOND    2024-01-19 01:39:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_TOTAL                SCALAR               2024-01-19 01:14:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_TOTAL                SCALAR               2024-01-19 01:19:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_TOTAL                SCALAR               2024-01-19 01:24:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_TOTAL                SCALAR               2024-01-19 01:29:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_TOTAL                SCALAR               2024-01-19 01:34:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_TOTAL                SCALAR               2024-01-19 01:39:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_READERS              SCALAR               2024-01-19 01:14:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_READERS              SCALAR               2024-01-19 01:19:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_READERS              SCALAR               2024-01-19 01:24:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_READERS              SCALAR               2024-01-19 01:29:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_READERS              SCALAR               2024-01-19 01:34:12 +0000 UTC         0
GLOBAL_LOCK_CURRENT_QUEUE_READERS              SCALAR               2024-01-19 01:39:12 +0000 UTC         0
